"","id","area_prop"
"1",1,2.45875
"2",3,4.325
"3",4,1.26
"4",5,1.925
"5",6,5.6664
"6",8,0.559321875
"7",9,3.963125
"8",11,0.6751
"9",13,1.823125
"10",14,1.1225
"11",15,2.446875
"12",16,6.18
"13",18,0.64
"14",20,1.125
"15",22,2.235
"16",24,4.16239375
"17",25,2.099965625
"18",26,2.9475
"19",27,0.505
"20",28,3.25
"21",30,1.520671875
"22",31,0.625
"23",33,1.965625
"24",35,2.85
"25",36,1.279140625
"26",37,5.45
"27",38,2.106625781
"28",39,5.080625
"29",40,2.2586625
"30",41,2.43625
"31",42,1.973778125
"32",43,1.48
"33",44,4.0901
"34",45,0.55
"35",46,1.70875
"36",47,2.19
"37",49,2.06625
"38",51,1.4325
"39",52,8.168125
"40",53,2.6067875
"41",55,2.291875
"42",57,2.425
"43",58,0.67
"44",59,2.30753125
"45",60,3.5575
"46",61,0.98
"47",62,1.175625
"48",63,1.4040625
"49",64,7.716875
"50",65,1.05125
"51",66,3.72625
"52",68,0.830625
"53",71,0.9325
"54",72,0.5125
"55",74,0.669375
"56",75,4.21875
"57",76,0.8325
"58",78,0.508125
"59",80,16.59
"60",81,1.5375
"61",83,1.439375
"62",85,1.995
"63",86,3.97
"64",87,2.065
"65",88,2.75
"66",89,6.88
"67",90,0.9
"68",91,9.53
"69",92,4.9210625
"70",95,0.7375
"71",96,1.78625
"72",97,2.6903125
"73",99,1.211875
"74",100,3.924740625
"75",102,1.351875
"76",103,2.42
"77",105,2.2765
"78",110,0.5525
"79",111,2.65
"80",112,2.6701
"81",114,12.485
"82",115,1.09
"83",118,2.235625
"84",119,2.42375
"85",120,0.64
"86",121,0.51
"87",123,1.9025
"88",125,1.125
"89",126,0.671875
"90",127,0.51875
"91",128,0.639375
"92",129,1.3425
"93",132,3.160625
"94",133,0.75
"95",134,0.925
"96",140,1.6775
"97",143,4.9564
"98",144,1.235
"99",145,0.526875
"100",146,2.2426
"101",147,1.2387125
"102",149,1.2475
"103",150,7.62
"104",151,1.53975
"105",152,4.39875
"106",153,1.125
"107",154,1.175
"108",155,4.3
"109",157,2.8125
"110",158,2.42
"111",159,1.178125
"112",160,2.29343125
"113",161,0.825
"114",163,0.79
"115",165,2.64368125
"116",166,1.12
"117",167,2.1525
"118",168,0.76315
"119",170,1.2425
"120",171,0.75
